Month,Total Cash Flow,Remaining Balance,Remaining Mortgages,Pool Factor
1,1264118513.0824409,252215669874.60706,796.995,1.000402524655727
2,1264608089.7816637,252317212162.46237,792.9883878887538,1.0008052877401155
3,1265097959.857067,252418814593.78812,788.9801627113546,1.001208289380973
4,1265588123.4655092,252520477200.8241,784.9703235123839,1.0016115297061774
5,1266078580.763934,252622200015.82788,780.9588693359107,1.0020150088436768
6,1266569331.9093719,252723983071.07468,776.9457992254918,1.0024187269214897
7,1267060377.0589395,252825826398.8574,772.9311122241712,1.0028226840677044
8,1267551716.3698394,252927730031.4867,768.91480737448,1.0032268804104798
9,1268043349.9993608,253029694001.29092,764.896883718436,1.0036313160780448
10,1268535278.104879,253131718340.6162,760.8773402975435,1.0040359911986987
11,1269027500.8438556,253233803081.8264,756.8561761527927,1.0044409059008117
12,1269520018.3738394,253335948257.30304,752.83339032466,1.0048460603128235
13,1270012830.8524644,253438153899.44556,748.8089818531071,1.0052514545632454
14,1270505938.4374523,253540420040.67105,744.7829497775813,1.005657088780658
15,1270999341.2866106,253642746713.41443,740.7552931370147,1.006062963093713
16,1271493039.5578337,253745133950.12842,736.7260109698244,1.0064690776311331
17,1271987033.4091027,253847581783.28354,732.6951023139118,1.0068754325217109
18,1272481322.9984856,253950090245.3681,728.6625662066623,1.0072820278943098
19,1272975908.4841363,254052659368.88828,724.6284016849456,1.0076888638778645
20,1273470790.0242972,254155289186.368,720.5926077851148,1.0080959406013794
21,1273965967.7772958,254257979730.34915,716.5551835430063,1.0085032581939306
22,1274461441.9015474,254360731033.39133,712.5161279939396,1.0089108167846643
23,1274957212.555554,254463543128.0721,708.475440172717,1.009318616502798
24,1275453279.8979046,254566416046.98688,704.4331191136232,1.00972665747762
25,1275949644.0872755,254669349822.7489,700.3891638504253,1.0101349398384896
26,1276446305.28243,254772344487.98938,696.3435734163722,1.0105434637148367
27,1276943263.642218,254875400075.35736,692.2963468441943,1.0109522292361623
28,1277440519.3255777,254978516617.51984,688.2474831661035,1.011361236532039
29,1277938072.4915333,255081694147.16168,684.1969814137927,1.0117704857321095
30,1278435923.2991967,255184932696.98572,680.1448406184356,1.0121799769660884
31,1278934071.907768,255288232299.71274,676.0910598106865,1.012589710363761
32,1279432518.4765334,255391592988.08145,672.0356380206796,1.0129996860549846
33,1279931263.1648674,255495014794.8485,667.9785742780293,1.0134099041696865
34,1280430306.1322317,255598497752.78857,663.9198676118298,1.0138203648378659
35,1280929647.538175,255702041894.69424,659.8595170506542,1.0142310681895936
36,1281429287.5423348,255805647253.37613,655.7975216225549,1.0146420143550112
37,1281929226.304435,255909313861.66284,651.7338803550631,1.0150532034643323
38,1282429463.9842877,256013041752.40097,647.6685922751884,1.015464635647841
39,1282930000.7417927,256116830958.45517,643.6016564094189,1.015876311035894
40,1283430836.7369375,256220681512.70807,639.5330717837201,1.0162882297589182
41,1283931972.1297977,256324593448.06036,635.4628374235356,1.0167003919474134
42,1284433407.080536,256428566797.4308,631.3909523537861,1.01711279773195
43,1284935141.7494037,256532601593.75613,627.3174155988697,1.0175254472431707
44,1285437176.29674,256636697869.99127,623.2422261826608,1.0179383406117892
45,1285939510.8829718,256740855659.10913,619.1653831285106,1.0183514779685914
46,1286442145.6686141,256845074994.10074,615.0868854592464,1.0187648594444345
47,1286945080.8142707,256949355907.97522,611.0067321971715,1.0191784851702481
48,1287448316.4806323,257053698433.75977,606.9249223640646,1.019592355277033
49,1287951852.8284786,257158102604.49976,602.8414549811802,1.020006469895862
50,1288455690.0186772,257262568453.2586,598.7563290692473,1.0204208291578802
51,1288959828.2121844,257367096013.11795,594.6695436484699,1.0208354331943041
52,1289464267.5700445,257471685317.17752,590.5810977385268,1.0212502821364227
53,1289969008.2533908,257576336398.55524,586.4909903585703,1.0216653761155965
54,1290474050.4234436,257681049290.38715,582.3992205272274,1.022080715263258
55,1290979394.2415133,257785824025.82748,578.3057872625981,1.0224962997109126
